Threshold,Lab +,Non-lab +,TP,FN missed,FP,TN,Sensitivity,Specificity,Missed lab +
>=10%,736,498,466,270,32,994,63.3%,96.9%,36.7%
>=20%,177,49,40,137,9,1576,22.6%,99.4%,77.4%
